id;scrumiera;nr_pers;start_datetime;end_dateime
1;true;16091;2021-07-21T21:05:26;2021-07-22T07:14:40
2;true;35209;2021-07-22T01:05:11;2021-07-21T15:59:10
3;false;68068;2021-07-22T11:11:38;2021-07-22T09:05:12
4;true;47616;2021-07-21T18:46:16;2021-07-22T07:57:46
5;true;29335;2021-07-22T02:33:34;2021-07-22T04:16:42
6;true;37303;2021-07-21T19:16:59;2021-07-21T20:41:50
7;true;92347;2021-07-22T00:02:06;2021-07-21T19:05:10
8;true;8527;2021-07-22T03:45:30;2021-07-21T16:51:40
9;true;49891;2021-07-21T20:08:22;2021-07-22T04:54:36
10;true;77291;2021-07-22T10:00:23;2021-07-22T09:15:59
