id;location;name;description;image;image_content_type
1;Account Awesome;optical;Calarasi;../fake-data/blob/hipster.png;image/png
2;Account Planner;SAS;silver reinvent;../fake-data/blob/hipster.png;image/png
3;Re-contextualized radical;Internal yellow Qatar;Beauty Profit-focused;../fake-data/blob/hipster.png;image/png
4;Aleea Intrarea hierarchy;Music encompassing Gorgeous;Movies Interactions;../fake-data/blob/hipster.png;image/png
5;orchestrate;Account parse;Music Account copying;../fake-data/blob/hipster.png;image/png
6;technologies;connecting;hack;../fake-data/blob/hipster.png;image/png
7;indigo Customer;capacitor navigate matrix;Taiwan;../fake-data/blob/hipster.png;image/png
8;IB;Interface conglomeration Soap;gold communities;../fake-data/blob/hipster.png;image/png
9;system Adaptive;Braila core;infrastructures RAM;../fake-data/blob/hipster.png;image/png
10;payment program;Rand SDD;Bulevardul;../fake-data/blob/hipster.png;image/png
